"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상,합계,합계,합계,정상,정상,정상,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,정신장애,주취,주취,주취,월경시이상,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,정신이상,정신이상,정신이상,정신박약,정신박약,정신박약,기타정신장애,기타정신장애,기타정신장애,소계,소계,소계,소계,소계
"범죄별(1)",범죄별(2),범죄별(3),계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계,계,남자,여자,계,남자,여자,계,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,계
"형법범",위조범죄,인장,17,15,2,11,11,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,4,22,20,2,18,16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,24,22,2,22,20,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,41,41,-,40,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"형법범",공무원범죄,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",공무원범죄,직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",공무원범죄,직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",공무원범죄,수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",공무원범죄,증뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",풍속범죄,소계,192,186,6,164,161,3,7,1,1,-,5,5,-,1,1,-,10,8,2,-,11,178,175,3,158,156,2,5,1,1,-,-,-,-,4,4,-,5,4,1,-,10,188,180,8,158,153,5,13,2,2,-,3,3,-,8,8,-,3,3,-,-,14,183,173,10,162,152,10,8,2,2,-,1,1,-,5,5,-,2,2,-,-,11
"형법범",풍속범죄,도박과복표,74,74,-,71,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,91,89,2,87,85,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,63,63,-,61,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,74,73,1,71,70,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"형법범",풍속범죄,신앙,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"형법범",풍속범죄,기타음란행위,118,112,6,93,90,3,7,1,1,-,5,5,-,1,1,-,10,8,2,-,8,87,86,1,71,71,-,5,1,1,-,-,-,-,4,4,-,5,4,1,-,6,125,117,8,97,92,5,13,2,2,-,3,3,-,8,8,-,3,3,-,-,12,103,96,7,89,82,7,8,2,2,-,1,1,-,5,5,-,2,2,-,-,4
"형법범",과실범죄,소계,131,98,33,101,77,24,2,-,-,-,-,-,-,2,-,2,7,5,2,-,21,129,94,35,104,77,27,1,-,-,-,-,-,-,1,1,-,4,2,2,-,20,132,99,33,104,77,27,2,-,-,-,-,-,-,2,2,-,8,6,2,-,18,154,125,29,123,102,21,1,-,-,-,1,-,1,-,-,-,4,2,2,-,26
