"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),생활정도,생활정도,생활정도,생활정도,생활정도,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,생활정도,생활정도,생활정도,생활정도,생활정도,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,생활정도,생활정도,생활정도,생활정도,생활정도,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,생활정도,생활정도,생활정도,생활정도,생활정도,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계,부모관계
"범죄별(1)",범죄별(2),범죄별(3),소계,하류,중류,상류,미상,소계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,소계,하류,중류,상류,미상,소계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,소계,하류,중류,상류,미상,소계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상,소계,하류,중류,상류,미상,소계,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,미혼,기혼,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계,소계,소계,소계,소계,소계,소계,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미상,소계,소계
"형법범",공무원범죄,직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,증뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",풍속범죄,소계,192,65,109,7,11,192,156,1,2,11,1,8,-,-,1,-,-,12,178,57,106,5,10,178,154,-,-,5,-,9,-,-,-,-,-,10,188,58,111,5,14,188,156,-,-,9,1,7,-,-,3,-,1,11,183,58,112,1,12,183,141,2,0,7,2,17,1,0,1,0,1,11
"형법범",풍속범죄,도박과 복표,74,32,39,-,3,74,61,-,1,5,-,3,-,-,1,-,-,3,91,36,47,4,4,91,81,-,-,3,-,3,-,-,-,-,-,4,63,24,37,-,2,63,55,-,-,3,-,2,-,-,-,-,1,2,74,25,46,0,3,74,59,0,0,4,0,8,0,0,0,0,0,3
"형법범",풍속범죄,신앙,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,1,0,4,6,2,0,0,0,0,0,0,0,0,0,0,4
"형법범",풍속범죄,기타 음란행위,118,33,70,7,8,118,95,1,1,6,1,5,-,-,-,-,-,9,87,21,59,1,6,87,73,-,-,2,-,6,-,-,-,-,-,6,125,34,74,5,12,125,101,-,-,6,1,5,-,-,3,-,-,9,103,32,65,1,5,103,80,2,0,3,2,9,1,0,1,0,1,4
"형법범",과실범죄,소계,131,61,46,3,21,131,98,-,-,6,-,6,-,-,-,-,-,21,129,35,71,3,20,129,101,-,-,1,2,5,-,-,-,-,-,20,132,41,68,1,22,132,107,-,-,1,-,8,-,-,2,-,-,14,154,40,72,2,40,154,118,2,1,1,1,4,0,0,1,0,0,26
"형법범",과실범죄,과실치사상,58,17,24,1,16,58,38,-,-,1,-,3,-,-,-,-,-,16,58,15,28,3,12,58,43,-,-,1,1,1,-,-,-,-,-,12,59,15,26,1,17,59,47,-,-,-,-,1,-,-,1,-,-,10,62,9,30,0,23,62,48,0,0,0,0,1,0,0,0,0,0,13
