"범죄별(1)",범죄별(2),범죄별(3),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"형법범",공무원범죄,직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",공무원범죄,증뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"형법범",풍속범죄,소계,44,18,1,2,3,6,4,2,-,26,1,4,4,3,4,9,1,39,10,-,-,2,4,1,1,2,29,3,2,4,8,5,5,2,34,15,-,1,2,9,-,-,3,19,-,3,2,8,5,1,-,49,21,2,2,4,9,3,1,0,28,1,7,2,5,8,5,0
"형법범",풍속범죄,도박과복표,22,5,-,-,1,2,2,-,-,17,-,2,2,3,2,7,1,28,6,-,-,1,2,1,1,1,22,2,2,2,6,4,4,2,12,2,-,-,1,1,-,-,-,10,-,1,-,6,3,-,-,27,7,0,1,2,4,0,0,0,20,0,5,1,4,6,4,0
"형법범",풍속범죄,신앙,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"형법범",풍속범죄,기타음란행위,22,13,1,2,2,4,2,2,-,9,1,2,2,-,2,2,-,11,4,-,-,1,2,-,-,1,7,1,-,2,2,1,1,-,22,13,-,1,1,8,-,-,3,9,-,2,2,2,2,1,-,21,14,2,1,2,5,3,1,0,7,1,2,1,1,2,0,0
"형법범",과실범죄,소계,29,16,1,7,2,2,2,1,1,13,2,2,2,4,3,-,-,22,7,-,1,1,1,3,-,1,15,-,3,3,4,2,2,1,27,11,1,3,2,2,3,-,-,16,-,1,5,6,1,2,1,17,5,0,1,1,1,2,0,0,12,0,4,0,4,2,1,1
"형법범",과실범죄,과실치사상,7,3,-,-,-,1,-,1,1,4,-,-,-,2,2,-,-,6,1,-,-,-,-,1,-,-,5,-,-,1,1,1,1,1,6,1,-,-,-,-,1,-,-,5,-,-,2,3,-,-,-,7,3,0,1,1,1,0,0,0,4,0,1,0,0,1,1,1
"형법범",과실범죄,업무상과실치사상,2,1,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
